"","carat","cut","color","clarity","depth","table","price","x","y","z"
"17224",1.22,"Ideal","I","VS1",62.9,54,6887,6.83,6.79,4.29
"910",0.79,"Very Good","D","SI2",59.7,58,2878,6,6.07,3.6
"44009",0.3,"Very Good","F","SI2",61.7,62,394,4.25,4.27,2.63
"46052",0.54,"Ideal","E","VS1",62.6,55,1732,5.2,5.22,3.26
"52825",0.75,"Premium","F","SI1",61.7,58,2573,5.85,5.88,3.62
"47021",0.56,"Premium","G","VS1",61.2,60,1819,5.26,5.3,3.23
"3569",0.7,"Ideal","D","VS1",61.7,57,3419,5.71,5.74,3.53
"24797",1.62,"Premium","F","SI1",62.6,58,13177,7.48,7.53,4.7
"16065",1.01,"Premium","F","VS2",61.7,58,6416,6.42,6.48,3.98
"52976",0.24,"Good","F","VVS1",58.3,57,552,4.1,4.14,2.4
"42563",0.57,"Ideal","I","VS2",61.5,56,1326,5.32,5.35,3.28
"21036",0.31,"Very Good","F","VS2",62.7,57,625,4.3,4.34,2.71
"17285",1.03,"Premium","E","VS2",62.9,61,6922,6.42,6.36,4.02
"34418",0.3,"Ideal","G","IF",62.1,55,863,4.32,4.34,2.69
"43084",0.54,"Very Good","E","SI1",62.1,59,1379,5.17,5.2,3.22
"34171",0.33,"Ideal","G","VS1",62.4,56,854,4.45,4.43,2.77
"6537",1.03,"Premium","E","SI2",58.8,62,4070,6.58,6.51,3.85
"48117",0.66,"Ideal","H","SI1",61.6,55,1936,5.63,5.66,3.48
"8988",1.36,"Premium","G","I1",62.1,57,4509,7.11,7.06,4.4
"30360",0.39,"Ideal","D","SI1",60.6,55,729,4.73,4.78,2.88
"31710",0.42,"Very Good","I","VVS2",61.7,55,771,4.81,4.85,2.98
"25098",1.25,"Ideal","F","VVS2",61.8,57,13623,6.9,6.95,4.28
"9802",0.9,"Very Good","G","VVS2",62.6,55,4668,6.12,6.19,3.85
"645",0.81,"Very Good","F","SI2",63.2,58,2843,5.91,5.92,3.74
"7013",1.16,"Premium","H","SI2",58.8,61,4157,6.93,6.84,4.05
"44787",0.62,"Very Good","E","SI2",58.8,63,1624,5.58,5.61,3.29
"10829",1.02,"Ideal","H","SI2",62.4,55,4870,6.41,6.46,4.02
"53009",0.7,"Ideal","F","SI1",60.8,57,2596,5.73,5.71,3.48
"12119",1.09,"Good","F","SI2",60.8,61.4,5167,6.59,6.64,4.02
"32683",0.31,"Premium","G","VS1",62.9,58,802,4.35,4.3,2.72
"39458",0.39,"Ideal","G","VS1",62,55,1077,4.71,4.66,2.9
"21427",1.5,"Ideal","I","VS1",62.8,57,9533,7.24,7.28,4.56
"12217",1.02,"Ideal","F","SI1",60.3,60,5195,6.55,6.51,3.94
"5348",0.9,"Premium","D","SI1",62.1,60,3812,6.2,6.14,3.83
"21089",1.51,"Good","G","SI1",63.1,56,9258,7.2,7.28,4.57
"45295",0.51,"Ideal","E","VS2",61.9,57,1662,5.12,5.09,3.16
"9800",1.05,"Ideal","G","SI2",62.2,54,4667,6.52,6.56,4.07
"39316",0.53,"Very Good","G","SI2",60.8,58,1070,5.19,5.21,3.16
"30682",0.4,"Ideal","E","SI1",61.2,57,737,4.7,4.74,2.89
"51009",0.74,"Very Good","I","VS2",60.8,59,2327,5.83,5.85,3.55
"13629",1.04,"Ideal","H","VS1",62.7,57,5577,6.42,6.46,4.04
"7110",1.11,"Very Good","I","SI2",62.6,55,4168,6.65,6.71,4.18
"11353",1.21,"Very Good","H","SI2",61.1,60,4991,6.86,6.91,4.21
"43328",0.54,"Very Good","F","SI1",60.2,56,1404,5.28,5.39,3.21
"5260",0.8,"Ideal","F","VS1",61.2,56,3793,6.01,5.98,3.67
"8401",1.07,"Premium","G","SI2",62,59,4401,6.54,6.5,4.04
"19162",1.35,"Premium","H","VS2",61.5,58,7918,7.09,7.15,4.38
"28825",0.41,"Premium","H","SI1",61.7,60,683,4.71,4.75,2.92
"26048",2.41,"Premium","H","SI2",58.7,61,15248,8.85,8.76,5.17
"53150",0.74,"Ideal","F","SI2",61.9,56,2623,5.81,5.85,3.61
"26782",2.06,"Ideal","I","SI1",61.9,56,16626,8.17,8.19,5.06
"38483",0.42,"Ideal","F","VS1",61.3,57,1031,4.8,4.85,2.96
"3860",0.72,"Ideal","G","VS1",60.3,57,3478,5.82,5.86,3.52
"7047",1.02,"Premium","F","SI2",59.9,59,4162,6.56,6.59,3.94
"16619",1,"Premium","F","VS2",60.5,59,6640,6.57,6.39,3.92
"37062",0.43,"Premium","F","VS2",61.1,57,968,4.9,4.86,2.98
"6816",1.01,"Fair","D","SI1",66.3,55,4118,6.22,6.17,4.11
"47961",0.51,"Ideal","G","VVS1",61.9,53,1919,5.14,5.2,3.2
"46753",0.61,"Ideal","E","SI1",61.2,56,1800,5.5,5.48,3.36
"19901",1.24,"Ideal","G","VS1",61.1,57,8449,6.98,6.91,4.24
"3287",0.91,"Premium","H","SI2",62.7,58,3363,6.17,6.14,3.86
"15674",1.01,"Very Good","F","VS2",58.8,59,6288,6.55,6.59,3.86
"14738",1.09,"Ideal","E","SI1",61.1,55,5935,6.66,6.7,4.08
"2713",0.32,"Very Good","G","VS2",60.9,58,564,4.42,4.45,2.7
"14080",1.2,"Premium","F","SI2",62.9,57,5712,6.8,6.72,4.25
"9660",1.01,"Good","H","SI1",60.3,64,4642,6.53,6.5,3.93
"8746",1.14,"Premium","H","SI1",62.1,59,4463,6.73,6.61,4.14
"51643",0.31,"Premium","G","VS2",59.9,59,544,4.38,4.4,2.63
"48768",0.55,"Ideal","D","SI1",60.9,56,2018,5.31,5.34,3.24
"39424",0.41,"Ideal","F","VS1",60.8,56,1076,4.79,4.76,2.92
"14606",1.17,"Ideal","I","VS1",61.5,57,5892,6.74,6.79,4.16
"33913",0.3,"Premium","E","VS2",62.8,59,844,4.26,4.24,2.67
"7890",1,"Very Good","E","SI2",62.2,59,4312,6.35,6.38,3.96
"19739",1.09,"Ideal","G","VS1",60.3,57,8305,6.68,6.73,4.04
"40542",0.41,"Premium","G","VVS1",59.7,60,1148,4.85,4.83,2.89
"23848",1.5,"Very Good","D","SI1",62,63,11933,7.27,7.31,4.52
"32039",0.3,"Ideal","E","VVS2",61.7,53.8,779,4.31,4.34,2.67
"20260",1.01,"Premium","F","VVS2",62,58,8688,6.45,6.36,3.97
"16471",1,"Ideal","F","VS2",61.7,54,6580,6.42,6.39,3.95
"34911",0.34,"Very Good","G","VS1",63.1,57,880,4.45,4.4,2.79
"11042",0.33,"Ideal","G","SI2",60.2,57,594,4.5,4.47,2.7
"18588",1.4,"Very Good","I","VS1",61.6,59,7584,7.17,7.22,4.43
"44819",0.5,"Very Good","E","VS2",62.9,59,1624,5.06,5.09,3.19
"13051",1.11,"Premium","G","SI1",62.7,57,5408,6.62,6.5,4.11
"18231",1,"Ideal","G","VVS2",62.6,55,7403,6.37,6.4,4
"35501",0.41,"Premium","E","SI1",59.3,61,904,4.84,4.8,2.86
"50781",0.7,"Very Good","G","VS2",63.1,58,2302,5.69,5.66,3.58
"20035",0.3,"Very Good","E","SI2",61.6,61,421,4.25,4.29,2.63
"4037",0.73,"Ideal","D","VS2",61.4,56,3528,5.78,5.81,3.56
"13877",1.04,"Premium","F","SI1",62.8,57,5650,6.5,6.43,4.06
"45605",0.61,"Ideal","D","SI2",59.9,57,1690,5.55,5.53,3.32
"15758",1.5,"Good","E","SI2",61.5,65,6300,7.21,7.17,4.42
"47763",0.5,"Ideal","D","VS2",61.8,56,1893,5.11,5.14,3.16
"52965",0.24,"Very Good","F","IF",60,57,552,4.07,4.1,2.45
"40226",0.4,"Premium","D","VS1",62.5,60,1123,4.66,4.72,2.93
"52529",0.76,"Very Good","I","VS1",59.8,61,2530,5.92,5.96,3.55
"18980",1.12,"Ideal","F","SI1",61.7,56,7812,6.64,6.68,4.11
"4669",1.01,"Fair","G","SI1",66.1,56,3671,6.26,6.2,4.12
"42732",0.52,"Very Good","E","SI1",61.1,62,1343,5.16,5.18,3.16
"44635",0.57,"Ideal","E","SI1",61.8,57,1608,5.28,5.33,3.28
"17049",0.3,"Ideal","F","VS1",62.1,55,612,4.31,4.35,2.69
"45664",0.59,"Good","D","SI1",63.7,56,1694,5.32,5.35,3.4
"22544",1.2,"Premium","F","VVS2",62.8,60,10580,6.79,6.74,4.25
"14135",1.01,"Very Good","D","SI1",62.6,56,5731,6.36,6.39,3.99
"43395",0.54,"Ideal","E","SI1",61.6,57,1410,5.23,5.26,3.23
"13144",1.33,"Premium","H","SI2",61,59,5437,7.1,7.06,4.32
"49470",0.47,"Ideal","F","VVS1",61.6,56,2113,5,5.02,3.09
"7967",1.09,"Premium","G","SI1",61.8,59,4322,6.59,6.53,4.06
"20077",1,"Very Good","F","VVS2",60,62,8553,6.43,6.46,3.87
"28014",0.3,"Ideal","E","VS2",61.8,56,658,4.3,4.34,2.67
"25960",2.03,"Ideal","H","SI2",61.8,56,15143,8.1,8.15,5.02
"4766",0.72,"Premium","F","VVS1",62.8,58,3689,5.75,5.68,3.59
"851",0.83,"Ideal","E","SI2",62.2,57,2870,6,6.05,3.75
"44330",0.33,"Premium","I","VS1",59.5,60,521,4.5,4.54,2.69
"50482",0.55,"Ideal","F","VVS2",62,55,2268,5.26,5.29,3.27
"21882",1.21,"Ideal","G","VVS2",59.4,59,9954,6.92,7.01,4.14
"5962",0.9,"Good","F","SI1",57.5,60,3950,6.33,6.37,3.65
"18014",1.01,"Premium","E","VS2",59.2,59,7287,6.67,6.6,3.93
"4990",0.72,"Ideal","F","VVS2",62.3,57,3740,5.72,5.74,3.57
"17932",1,"Very Good","G","VVS2",62.1,59,7242,6.34,6.45,3.97
"18136",1.06,"Ideal","F","VS1",61.9,57,7345,6.53,6.55,4.05
"13673",1.03,"Ideal","F","SI1",61.3,56,5595,6.55,6.51,4
"16663",1.56,"Very Good","J","SI2",61.4,58,6662,7.4,7.45,4.56
"41835",0.5,"Fair","D","SI1",64.6,59,1253,4.93,4.95,3.19
"26207",2.09,"Ideal","H","SI2",62,59,15589,8.15,8.2,5.07
"31708",0.31,"Premium","G","VS1",59.9,59,770,4.44,4.41,2.65
"44070",0.55,"Ideal","E","SI1",60.6,56,1551,5.3,5.33,3.22
"27028",2.42,"Premium","J","VS2",61.3,59,17168,8.61,8.58,5.27
"51461",0.7,"Premium","E","SI2",62,60,2376,5.72,5.67,3.53
"2312",0.77,"Very Good","D","SI1",60.3,58,3166,5.89,5.96,3.57
"5949",0.97,"Premium","I","VS2",62.2,56,3948,6.34,6.29,3.94
"23366",0.31,"Ideal","J","VS1",62.1,55,424,4.35,4.38,2.71
"33888",0.3,"Ideal","E","VS2",61.8,56,844,4.32,4.29,2.66
"5448",1.2,"Premium","H","SI2",60.9,60,3830,6.91,6.81,4.18
"45662",0.5,"Very Good","G","VS1",61,58,1694,5.08,5.15,3.12
"30880",0.33,"Premium","E","SI1",60.3,60,743,4.49,4.47,2.7
"10677",1,"Ideal","I","VS2",62.4,52,4841,6.41,6.45,4.02
"2131",0.72,"Ideal","H","VS2",60.1,56,3122,5.85,5.88,3.52
"22388",1.11,"Ideal","F","VVS1",61.9,57,10412,6.62,6.66,4.11
"40534",0.38,"Premium","G","IF",62.5,60,1148,4.61,4.64,2.89
"9783",0.98,"Ideal","G","SI1",62.3,56,4665,6.37,6.34,3.96
"6312",1.13,"Good","F","SI2",64,58,4025,6.58,6.52,4.19
"29198",0.33,"Very Good","I","IF",59,61,694,4.49,4.56,2.67
"36906",0.32,"Ideal","E","VS2",60.2,57,960,4.51,4.46,2.7
"24039",0.38,"Premium","I","VS2",61.7,59,633,4.6,4.64,2.85
"44327",0.33,"Very Good","H","VS2",62.8,59,521,4.38,4.44,2.77
"4712",0.31,"Premium","D","SI1",60.9,60,571,4.38,4.39,2.67
"32703",0.31,"Ideal","F","VS2",60.8,57,802,4.39,4.36,2.66
"18512",1.24,"Ideal","I","VS2",61.8,56,7544,6.86,6.89,4.25
"6066",1.01,"Very Good","G","SI2",63,58,3966,6.29,6.34,3.98
"51190",0.7,"Premium","F","SI1",61.7,61,2348,5.7,5.67,3.51
"14046",0.26,"Ideal","G","IF",62.2,55,605,4.09,4.13,2.55
"44225",0.57,"Premium","G","VS2",61.1,59,1571,5.39,5.32,3.27
"6662",0.7,"Very Good","D","VS1",60.3,58,4095,5.76,5.79,3.48
"21488",1.22,"Premium","D","VS2",62,60,9581,6.74,6.79,4.22
"28732",0.31,"Premium","E","VS2",61,58,680,4.37,4.39,2.67
"42464",0.5,"Good","E","SI1",63.3,58,1316,4.99,5.03,3.17
"49713",0.73,"Fair","D","SI2",65.5,60,2147,5.64,5.54,3.66
"45166",0.5,"Premium","D","SI1",62.3,58,1654,5.07,5.04,3.15
"53076",0.89,"Premium","H","SI2",62.2,59,2610,6.17,6.15,3.83
"15256",1.02,"Very Good","G","VS1",62,59,6126,6.39,6.45,3.98
"9319",1.09,"Premium","H","SI2",61.7,60,4578,6.59,6.57,4.06
"1202",0.7,"Very Good","G","VVS2",61.8,60,2936,5.63,5.69,3.5
"15535",1.05,"Very Good","E","SI1",59.7,57,6224,6.63,6.71,3.98
"4352",0.7,"Ideal","F","VVS1",61,57,3602,5.71,5.76,3.5
"17339",1,"Very Good","F","VS2",62.8,57,6957,6.29,6.35,3.97
"35654",0.31,"Very Good","G","VVS2",63.1,57,907,4.32,4.3,2.72
"41268",0.31,"Ideal","I","VS1",61.9,54.5,502,4.33,4.36,2.69
"24500",2.07,"Ideal","J","SI2",62.5,56,12778,8.18,8.08,5.08
"4675",0.78,"Very Good","D","VS2",59.8,60,3672,5.97,6.03,3.59
"32102",0.33,"Ideal","D","VS2",62.5,56,781,4.43,4.46,2.78
"28419",0.43,"Good","D","SI2",63.1,59,669,4.8,4.81,3.03
"17103",1,"Very Good","F","VS2",63.4,58,6818,6.3,6.39,4.02
"9477",1.02,"Very Good","H","SI1",62.6,59,4604,6.38,6.43,4.01
"11782",1.01,"Very Good","E","SI1",63.1,57,5085,6.33,6.44,4.03
"35688",0.3,"Premium","D","VS2",62,59,911,4.27,4.22,2.63
"11046",0.25,"Ideal","F","VS1",61.8,56,595,4.07,4.09,2.52
"48452",0.55,"Ideal","E","VS1",62.2,55,1975,5.22,5.26,3.26
"49096",0.71,"Very Good","I","SI1",60.2,58,2063,5.76,5.83,3.49
"27536",2.06,"Ideal","G","SI2",62.3,56,18293,8.16,8.09,5.06
"23267",1.52,"Ideal","H","VS2",62.4,58,11272,7.3,7.37,4.58
"16722",0.32,"Ideal","F","VS2",60.9,56,610,4.41,4.45,2.7
"1116",0.73,"Very Good","H","VS1",60.8,57,2916,5.8,5.83,3.54
"44036",0.42,"Very Good","D","VVS1",62.8,56,1547,4.76,4.8,3
"50408",0.7,"Very Good","E","SI2",62,60,2257,5.67,5.72,3.53
"3728",0.36,"Ideal","H","VS2",62.1,55,568,4.57,4.61,2.85
"48950",0.7,"Ideal","J","SI2",61.6,57,2047,5.73,5.69,3.52
"34873",0.3,"Good","G","VVS2",63.8,57,878,4.26,4.24,2.71
"38647",0.44,"Premium","H","VS2",61.3,58,1040,4.91,4.88,3
"6262",1.01,"Good","F","SI2",58.3,60,4011,6.64,6.66,3.88
"29350",0.31,"Ideal","G","VS2",61.8,57,698,4.36,4.34,2.69
"29179",0.3,"Ideal","F","VVS2",62.1,57,694,4.25,4.28,2.65
"21489",1.51,"Good","I","VS1",63.6,57,9581,7.14,7.21,4.56
"25918",2.08,"Ideal","H","SI2",61.5,57,15065,8.26,8.2,5.06
"29298",0.3,"Ideal","I","VS2",61.3,58,438,4.3,4.31,2.64
"3704",1,"Ideal","E","SI2",62.9,56,3450,6.32,6.3,3.97
"402",0.3,"Ideal","H","SI1",62.9,57,554,4.27,4.22,2.67
"13474",1.52,"Fair","G","SI2",64.9,59,5533,7.19,7.15,4.65
"8144",1.01,"Fair","H","VVS2",65,55,4355,6.31,6.27,4.09
"44063",0.55,"Ideal","E","SI1",61.4,55,1551,5.26,5.29,3.24
"30065",0.3,"Ideal","D","VS1",62,57,720,4.27,4.31,2.66
"53085",0.56,"Ideal","D","VVS2",61.7,58,2612,5.26,5.3,3.26
"12232",1.01,"Good","H","SI1",59.5,62,5197,6.49,6.55,3.88
"25160",1.54,"Premium","G","VS1",61.9,59,13733,7.37,7.34,4.55
"44682",0.5,"Premium","D","SI1",62.3,58,1610,5.08,5.07,3.16
"26994",2,"Good","D","SI2",64.1,57,17094,7.91,7.82,5.04
"3687",0.9,"Very Good","I","VS1",62.6,58,3447,6.14,6.17,3.85
"48749",0.54,"Very Good","D","VS1",63,54,2016,5.19,5.23,3.28
"27899",0.4,"Good","G","SI1",63.1,56,655,4.72,4.75,2.99
"8373",0.31,"Ideal","F","VS2",60.8,57,583,4.38,4.41,2.67
"45090",0.6,"Ideal","F","SI1",61.5,58,1646,5.38,5.41,3.32
"53193",0.7,"Good","G","VS2",63.1,55,2633,5.61,5.64,3.55
"48178",0.54,"Ideal","H","VVS1",60.3,56,1944,5.33,5.28,3.2
"31985",0.3,"Ideal","F","VS2",62.8,55,776,4.33,4.27,2.7
"21425",1.07,"Ideal","G","IF",61.5,57,9532,6.59,6.54,4.04
"20234",1.47,"Very Good","H","SI1",62.9,58,8663,7.18,7.23,4.53
"17147",1.01,"Very Good","G","VVS2",63,59,6843,6.34,6.41,4.01
"35231",0.34,"Good","H","VVS1",64,57,893,4.43,4.38,2.82
"46292",0.3,"Good","G","VS2",63.5,54,526,4.25,4.28,2.71
"52824",0.7,"Premium","D","SI2",60.4,60,2573,5.74,5.79,3.48
"33028",0.3,"Ideal","D","VVS2",62.4,54,814,4.3,4.32,2.69
"29883",0.3,"Ideal","D","VS2",61.9,57,710,4.29,4.33,2.67
"7022",1.04,"Premium","G","SI2",60.3,62,4158,6.56,6.5,3.94
"46308",0.3,"Very Good","H","VS1",62.9,57,526,4.26,4.29,2.69
"25634",1.51,"Premium","G","VS1",60.1,58,14507,7.48,7.45,4.49
"28439",0.3,"Ideal","D","SI1",61.3,57,670,4.34,4.37,2.67
"12649",1.01,"Very Good","G","VS1",63.1,59,5294,6.32,6.23,3.96
"41105",0.46,"Very Good","E","VS2",62.1,57,1194,4.89,4.93,3.05
"5190",0.9,"Good","H","VS2",63.6,55,3775,6.14,6.09,3.89
"33453",0.32,"Premium","G","VS1",61.4,58,828,4.4,4.36,2.69
"46990",0.57,"Good","G","VS2",58.2,66,1816,5.34,5.45,3.14
"25646",1.51,"Ideal","G","VS1",61.6,56,14542,7.34,7.37,4.53
"34616",0.27,"Premium","E","VS1",60.2,59,470,4.2,4.24,2.54
"2552",0.7,"Very Good","G","VVS1",62.4,59,3208,5.63,5.66,3.52
"26517",2.12,"Very Good","H","SI2",62.3,59,16151,8.15,8.19,5.09
"29337",0.31,"Good","H","VS1",64,59,698,4.28,4.25,2.73
"15010",1.22,"Premium","D","SI2",62,60,6046,6.8,6.74,4.2
"34731",0.32,"Very Good","G","VVS1",61.2,59,876,4.41,4.45,2.71
"29880",0.3,"Very Good","D","VS2",62.8,57,710,4.29,4.31,2.7
"42340",0.73,"Very Good","G","I1",62.5,58,1298,5.74,5.82,3.61
"3511",1.14,"Fair","J","SI2",64.4,55,3403,6.56,6.54,4.22
"30060",0.41,"Premium","G","SI1",60.3,59,719,4.76,4.79,2.88
"5240",0.92,"Good","F","SI2",63.7,64,3787,6.13,6.08,3.89
"23362",0.26,"Very Good","G","VS1",62.4,56,423,4.08,4.1,2.55
"3861",0.72,"Ideal","G","VS1",61.5,57,3478,5.74,5.79,3.54
"11956",1.11,"Premium","D","SI2",59.9,57,5134,6.74,6.72,4.03
"49885",0.7,"Premium","G","SI2",61.1,60,2177,5.67,5.62,3.45
"20100",1.25,"Very Good","G","VS2",63.5,60,8575,6.74,6.64,4.25
"16222",1.2,"Ideal","H","SI1",60.8,57,6485,6.9,6.88,4.19
"32398",0.31,"Ideal","E","VVS2",62,54,791,4.36,4.41,2.72
"48721",0.52,"Premium","G","VVS2",61.5,62,2012,5.17,5.14,3.17
"9576",1,"Premium","D","SI2",61.6,58,4626,6.45,6.37,3.95
"37789",0.3,"Ideal","D","VVS1",61.3,57,1000,4.29,4.32,2.64
"34049",0.36,"Very Good","D","SI1",63.4,57,851,4.57,4.55,2.89
"41065",0.4,"Very Good","E","VVS1",62.9,56,1191,4.67,4.71,2.95
"22479",1.51,"Ideal","H","SI1",62.8,55,10502,7.32,7.29,4.59
"20210",1.05,"Ideal","G","VVS2",61.9,57,8645,6.51,6.54,4.04
"42040",0.53,"Ideal","H","SI1",61,56,1268,5.23,5.26,3.2
"33394",0.31,"Ideal","F","VVS1",62.1,54,828,4.35,4.38,2.71
"18821",1.03,"Ideal","G","VVS1",61.7,56,7708,6.45,6.56,4
"3059",0.38,"Very Good","J","VS2",60.5,60,566,4.64,4.68,2.82
"40577",0.52,"Ideal","I","VS2",61.8,54,1152,5.16,5.2,3.2
"6044",0.32,"Ideal","E","SI2",62,55,576,4.41,4.36,2.72
"7972",0.9,"Very Good","H","VS1",62.2,57,4324,6.1,6.15,3.81
"33595",0.37,"Premium","G","VS2",59.3,60,833,4.71,4.67,2.78
"37022",0.33,"Premium","G","VVS2",61.7,58,965,4.42,4.39,2.72
"49044",0.7,"Ideal","G","SI2",62.9,56,2056,5.69,5.66,3.57
"21983",1.77,"Ideal","D","SI2",60.9,53,10051,7.92,7.85,4.8
"17814",1.01,"Ideal","G","VS2",61.4,57,7179,6.44,6.5,3.97
"2343",0.78,"Ideal","G","VS2",62.2,57,3171,5.87,5.9,3.66
"39189",0.35,"Ideal","D","VS2",61.8,56,1063,4.55,4.51,2.8
"52585",0.7,"Very Good","G","VS2",59.3,60,2539,5.77,5.83,3.43
"52134",0.52,"Ideal","E","VVS1",59.9,57,2467,5.28,5.24,3.15
"1067",0.31,"Premium","I","VS2",60.8,60,558,4.42,4.37,2.67
"23973",2.02,"Premium","D","SI2",61.1,57,12108,8.12,8.05,4.94
"20662",1.21,"Ideal","H","VVS2",61.3,56,8950,6.85,6.89,4.21
"50657",0.31,"Good","G","VS2",63.5,58,544,4.22,4.29,2.7
"25009",2,"Very Good","J","VS2",60.7,60,13542,8.05,8.17,4.92
"24702",0.3,"Ideal","H","VVS1",62.5,53.8,639,4.31,4.33,2.69
"33847",0.3,"Ideal","F","VS1",62,55,844,4.34,4.3,2.68
"41131",0.35,"Ideal","E","IF",61.4,56,1197,4.53,4.56,2.79
"22842",1.64,"Premium","H","SI1",59.2,58,10874,7.76,7.68,4.57
"34730",0.32,"Fair","D","VVS1",62.4,61,875,4.38,4.44,2.75
"30304",0.3,"Very Good","G","VS1",63.5,58,725,4.26,4.21,2.69
"3101",0.71,"Ideal","D","VS2",62.1,56,3321,5.71,5.75,3.56
"47987",0.25,"Very Good","E","VVS2",61.1,61,533,4.03,4.06,2.47
"26473",1.56,"Ideal","G","VS1",61.3,56,16052,7.48,7.44,4.57
"15683",0.9,"Very Good","E","VVS2",62.2,60,6289,6.04,6.12,3.78
"44439",0.51,"Ideal","E","VS2",61.7,53,1590,5.18,5.2,3.2
"5353",0.74,"Ideal","D","VS1",61.7,55,3813,5.79,5.85,3.59
"9701",0.32,"Very Good","D","SI1",63,58,589,4.36,4.4,2.76
"6376",0.25,"Very Good","F","VVS2",62,59,576,3.99,4.04,2.49
"41070",0.51,"Ideal","H","SI1",59.9,56,1192,5.19,5.23,3.12
"10812",0.72,"Ideal","E","VVS1",61.4,57,4864,5.74,5.79,3.54
"15882",1.1,"Very Good","D","SI1",60.7,55,6352,6.71,6.74,4.08
"6343",1,"Very Good","I","SI1",60.4,63,4032,6.44,6.37,3.87
"6233",1.1,"Premium","H","SI2",59.5,57,4004,6.81,6.74,4.03
"11292",1.01,"Premium","H","SI1",60.4,60,4977,6.55,6.47,3.93
"39336",0.57,"Good","I","SI1",63.3,56,1072,5.27,5.29,3.34
"10525",1.01,"Premium","G","SI1",60,58,4805,6.55,6.51,3.92
"17923",1.39,"Premium","J","VS1",60.8,58,7239,7.26,7.21,4.4
"2692",0.9,"Good","I","VS2",63.7,61,3246,6.1,6.06,3.87
"11049",0.37,"Good","I","VS2",64,56,595,4.58,4.45,2.89
"12491",1.02,"Fair","F","SI1",64.8,59,5255,6.33,6.23,4.07
"49068",0.74,"Good","J","SI1",59.9,64,2058,5.82,5.86,3.5
"1647",0.71,"Ideal","F","VVS2",62.6,56,3018,5.7,5.65,3.55
"4876",1.02,"Ideal","I","SI1",62.1,56,3713,6.44,6.39,3.98
"15690",1.04,"Premium","G","VS2",62.5,58,6290,6.47,6.43,4.03
"16792",1.04,"Ideal","F","VS2",62.1,57,6692,6.48,6.53,4.04
"24538",1.62,"Ideal","F","SI1",62.7,56,12828,7.5,7.44,4.68
"13006",1.27,"Ideal","F","SI2",62,55,5405,6.95,6.9,4.3
"40896",0.44,"Ideal","H","IF",61.9,54,1177,4.9,4.95,3.05
"27346",2,"Good","G","SI1",64.2,59,17902,7.93,7.84,5.06
"50030",0.62,"Ideal","H","VVS1",61.1,56,2197,5.48,5.52,3.36
"30182",0.34,"Ideal","G","VVS2",62,55,722,4.47,4.5,2.78
"50449",0.7,"Very Good","F","SI1",63.5,59,2264,5.59,5.65,3.57
"48635",0.3,"Good","D","SI2",60.8,65,536,4.29,4.26,2.6
"7767",0.91,"Good","G","VS1",63.4,54,4284,6.07,6.24,3.9
"24281",1.58,"Premium","F","SI1",61.4,61,12512,7.48,7.45,4.58
"46637",0.3,"Ideal","G","VS2",61.3,56,526,4.28,4.3,2.63
"22157",1.58,"Ideal","I","VS2",61.4,55,10197,7.49,7.55,4.62
"25244",1.5,"Fair","F","VS2",65.3,57,13853,7.15,7.12,4.66
"4400",0.31,"Very Good","D","SI1",60.2,56,571,4.37,4.4,2.64
"149",0.7,"Very Good","D","SI1",61.1,58,2768,5.66,5.73,3.48
"53556",0.8,"Ideal","I","VS2",62.6,54,2694,5.93,5.96,3.72
"38910",0.33,"Ideal","E","VVS1",60.9,56,1052,4.48,4.46,2.72
"17872",1.03,"Ideal","G","VS1",62.2,59,7211,6.48,6.42,4.01
"4762",0.9,"Fair","D","SI1",64.8,59,3689,6.1,6.03,3.93
"35795",0.31,"Ideal","D","VS1",60.1,57,913,4.39,4.4,2.64
"51849",0.7,"Ideal","F","SI1",61.8,55,2423,5.75,5.71,3.54
"53900",0.72,"Ideal","H","VVS2",62.3,56,2752,5.74,5.81,3.6
"2714",0.32,"Ideal","G","VS2",61.8,55,564,4.4,4.43,2.73
"4877",0.9,"Premium","F","SI1",61.3,58,3714,6.13,6.08,3.74
"18992",1.41,"Premium","F","SI2",62.7,56,7817,7.21,7.15,4.5
"31445",0.34,"Premium","G","VS2",60.3,54,765,4.56,4.53,2.74
"28096",0.31,"Premium","F","SI1",60.7,58,663,4.38,4.35,2.65
"21667",1.51,"Premium","H","SI1",60.3,62,9762,7.54,7.41,4.51
"53275",0.81,"Very Good","G","SI2",62.7,56,2649,5.91,5.96,3.72
"32606",0.31,"Ideal","G","VS1",61.3,56,802,4.38,4.36,2.68
"24743",2.09,"Premium","J","SI2",60,60,13092,8.32,8.37,5.01
"3325",0.74,"Ideal","E","VS2",61.7,56,3374,5.81,5.86,3.6
"47995",0.32,"Ideal","J","IF",62.2,56,533,4.37,4.41,2.73
"18015",1.54,"Premium","G","SI2",61.6,58,7287,7.45,7.3,4.57
"47044",0.57,"Premium","G","VS1",61,57,1819,5.4,5.35,3.28
"46058",0.46,"Ideal","G","IF",62.1,56,1733,4.96,4.93,3.07
"18533",1.51,"Premium","J","VS2",62.3,59,7553,7.35,7.31,4.57
"29086",0.36,"Premium","G","SI1",62,59,689,4.56,4.53,2.82
"18063",1.14,"Very Good","F","VS2",58.3,60,7293,6.87,6.91,4.02
